epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.154764,0.154634,0.194614,0.00009948,0.000000,0.0007,0.6595,0.000500,9.9
2,0.167229,0.167005,0.168407,0.00009969,0.000000,0.0013,0.7301,0.000500,9.6
3,0.131646,0.131233,0.206416,0.00009961,0.000000,0.0020,0.6328,0.000500,9.6
4,0.097141,0.096426,0.268128,0.00009956,0.000000,0.0027,0.5348,0.000500,9.6
5,0.109440,0.108386,0.316268,0.00009965,0.000000,0.0033,0.4756,0.000500,9.6
6,0.111072,0.109719,0.338305,0.00009981,0.000000,0.0040,0.4514,0.000500,9.6
7,0.103391,0.101770,0.347344,0.00010003,0.000000,0.0047,0.4418,0.000500,9.6
8,0.095227,0.093375,0.347145,0.00010031,0.000000,0.0053,0.4420,0.000500,9.6
9,0.097880,0.095816,0.343907,0.00010066,0.000000,0.0060,0.4452,0.000500,9.6
10,0.101738,0.099401,0.350536,0.00010100,0.000000,0.0067,0.4383,0.000500,9.6
11,0.099135,0.096459,0.364970,0.00010132,0.000000,0.0073,0.4238,0.000500,9.6
12,0.094298,0.091256,0.380257,0.00010165,0.000000,0.0080,0.4093,0.000500,9.6
13,0.093873,0.090483,0.391099,0.00010203,0.000000,0.0087,0.4000,0.000500,9.6
14,0.096455,0.092775,0.394324,0.00010247,0.000000,0.0093,0.3981,0.000500,9.6
15,0.097115,0.093188,0.392691,0.00010296,0.000000,0.0100,0.4010,0.000500,9.6
16,0.095795,0.091657,0.387931,0.00010348,0.000000,0.0107,0.4072,0.000500,9.6
17,0.093464,0.089143,0.381280,0.00010407,0.000000,0.0113,0.4157,0.000500,9.6
18,0.092803,0.088330,0.372701,0.00010472,0.000000,0.0120,0.4271,0.000500,9.6
19,0.093760,0.089177,0.361811,0.00010544,0.000000,0.0127,0.4426,0.000500,9.6
20,0.093956,0.089303,0.348984,0.00010621,0.000000,0.0133,0.4634,0.000500,9.6
21,0.092275,0.087588,0.334769,0.00010706,0.000000,0.0140,0.4908,0.000500,9.6
22,0.090487,0.085811,0.318835,0.00010800,0.000000,0.0147,0.5283,0.000500,9.6
23,0.090143,0.085479,0.304191,0.00010910,0.000000,0.0153,0.5757,0.000500,9.5
24,0.090451,0.085690,0.297572,0.00011036,0.000000,0.0160,0.6242,0.000500,9.5
25,0.090071,0.085050,0.301257,0.00011179,0.000000,0.0167,0.6607,0.000500,9.6
26,0.088698,0.083287,0.312161,0.00011338,0.000000,0.0173,0.6771,0.000500,9.5
27,0.087546,0.081720,0.323631,0.00011519,0.000000,0.0180,0.6796,0.000500,9.6
28,0.087186,0.080988,0.332049,0.00011730,0.000000,0.0187,0.6777,0.000500,9.6
29,0.086508,0.079993,0.337012,0.00011970,0.000000,0.0193,0.6818,0.000500,9.6
30,0.084957,0.078173,0.339182,0.00012242,0.000000,0.0200,0.6990,0.000500,9.6
31,0.083108,0.076064,0.340825,0.00012547,0.000000,0.0207,0.7292,0.000500,9.6
32,0.082626,0.075267,0.344961,0.00012888,0.000000,0.0213,0.7619,0.000500,9.5
33,0.082086,0.074368,0.350822,0.00013255,0.000000,0.0220,0.7665,0.000500,9.6
34,0.080800,0.072709,0.356963,0.00013639,0.000000,0.0227,0.7425,0.000500,9.6
35,0.080170,0.071695,0.363194,0.00014045,0.000000,0.0233,0.7185,0.000500,9.5
36,0.079745,0.070876,0.369528,0.00014470,0.000000,0.0240,0.7130,0.000500,9.5
37,0.078619,0.069282,0.378545,0.00014914,0.000000,0.0247,0.7317,0.000500,9.5
38,0.077597,0.067730,0.389458,0.00015375,0.000000,0.0253,0.7633,0.000500,9.6
39,0.077060,0.067010,0.386567,0.00015834,0.000000,0.0260,0.7698,0.000500,9.6
40,0.075549,0.065722,0.368516,0.00016264,0.000000,0.0267,0.7359,0.000500,9.5
41,0.074807,0.065133,0.353948,0.00016683,0.000000,0.0273,0.6982,0.000500,9.5
42,0.074488,0.064749,0.347828,0.00017126,0.000000,0.0280,0.6860,0.000500,9.5
43,0.073810,0.063906,0.345511,0.00017599,0.000000,0.0287,0.7011,0.000500,9.5
44,0.073547,0.063507,0.342284,0.00018086,0.000000,0.0293,0.7236,0.000500,9.5
45,0.073051,0.063076,0.332496,0.00018524,0.000000,0.0300,0.7177,0.000500,9.5
46,0.072692,0.062799,0.322590,0.00018899,0.000000,0.0307,0.6867,0.000500,9.5
47,0.072661,0.062688,0.318279,0.00019270,0.000000,0.0313,0.6654,0.000500,9.5
48,0.072262,0.062136,0.316423,0.00019663,0.000000,0.0320,0.6715,0.000500,9.5
49,0.072324,0.062027,0.315213,0.00020039,0.000000,0.0327,0.6873,0.000500,9.5
50,0.072176,0.061642,0.316013,0.00020322,0.000000,0.0333,0.6766,0.000500,9.5
51,0.072203,0.061418,0.317206,0.00020566,0.000000,0.0340,0.6581,0.000500,9.5
52,0.072040,0.061091,0.315840,0.00020838,0.000000,0.0347,0.6655,0.000500,9.5
53,0.072036,0.060953,0.313695,0.00021121,0.000000,0.0353,0.6843,0.000500,9.5
54,0.071802,0.060601,0.311122,0.00021351,0.000000,0.0360,0.6734,0.000500,9.5
55,0.071899,0.060581,0.308665,0.00021577,0.000000,0.0367,0.6608,0.000500,9.5
56,0.071602,0.060283,0.303182,0.00021852,0.000000,0.0373,0.6816,0.000500,9.5
57,0.071475,0.060135,0.298409,0.00022114,0.000000,0.0380,0.6941,0.000500,9.5
58,0.071610,0.060111,0.297387,0.00022337,0.000000,0.0387,0.6788,0.000500,9.5
59,0.071182,0.059722,0.291361,0.00022603,0.000000,0.0393,0.6939,0.000500,9.5
60,0.071203,0.059718,0.287122,0.00022862,0.000000,0.0400,0.7050,0.000500,9.5
61,0.071367,0.059598,0.289412,0.00023075,0.000000,0.0407,0.6835,0.000500,9.5
62,0.071069,0.059247,0.285999,0.00023340,0.000000,0.0413,0.7010,0.000500,9.5
63,0.070923,0.058957,0.284896,0.00023593,0.000000,0.0420,0.7055,0.000500,9.5
64,0.071391,0.059106,0.287921,0.00023825,0.000000,0.0427,0.6876,0.000500,9.5
65,0.071006,0.058795,0.281781,0.00024117,0.000000,0.0433,0.7135,0.000500,9.5
66,0.070999,0.058582,0.282199,0.00024369,0.000000,0.0440,0.6993,0.000500,9.5
67,0.070884,0.058480,0.277691,0.00024656,0.000000,0.0447,0.7063,0.000500,9.5
68,0.070735,0.058415,0.271763,0.00024963,0.000000,0.0453,0.7216,0.000500,9.5
69,0.070999,0.058451,0.272795,0.00025246,0.000000,0.0460,0.7047,0.000500,9.5
70,0.070759,0.058470,0.263336,0.00025594,0.000000,0.0467,0.7406,0.000500,9.5
71,0.071486,0.058726,0.269585,0.00025868,0.000000,0.0473,0.7041,0.000500,9.5
72,0.070578,0.058058,0.260843,0.00026237,0.000000,0.0480,0.7429,0.000500,9.5
73,0.070310,0.057652,0.260099,0.00026560,0.000000,0.0487,0.7313,0.000500,9.5
74,0.070243,0.057664,0.254996,0.00026915,0.000000,0.0493,0.7336,0.000500,9.5
75,0.070172,0.057902,0.245409,0.00027306,0.000000,0.0500,0.7566,0.000500,9.5
76,0.071474,0.058891,0.248346,0.00027619,0.000000,0.0507,0.7119,0.000500,9.5
77,0.070419,0.058226,0.237524,0.00028040,0.000000,0.0513,0.7536,0.000500,9.5
78,0.069937,0.057442,0.240275,0.00028383,0.000000,0.0520,0.7338,0.000500,9.5
79,0.069358,0.056985,0.234924,0.00028791,0.000000,0.0527,0.7564,0.000500,9.5
80,0.069438,0.057214,0.229190,0.00029201,0.000000,0.0533,0.7686,0.000500,9.5
81,0.070675,0.058231,0.230455,0.00029549,0.000000,0.0540,0.7297,0.000500,9.5
82,0.069623,0.057485,0.222044,0.00030003,0.000000,0.0547,0.7651,0.000500,9.5
83,0.068834,0.056650,0.220181,0.00030409,0.000000,0.0553,0.7645,0.000500,9.5
84,0.068573,0.056488,0.215810,0.00030853,0.000000,0.0560,0.7828,0.000500,9.5
85,0.068418,0.056312,0.213628,0.00031288,0.000000,0.0567,0.7820,0.000500,9.5
86,0.069751,0.057336,0.216547,0.00031694,0.000000,0.0573,0.7518,0.000500,9.5
87,0.069549,0.057291,0.211351,0.00032206,0.000000,0.0580,0.7982,0.000500,9.5
88,0.071290,0.058643,0.215568,0.00032616,0.000000,0.0587,0.7660,0.000500,9.5
89,0.069461,0.056821,0.213031,0.00033129,0.000000,0.0593,0.8079,0.000500,9.5
90,0.068333,0.055528,0.213419,0.00033559,0.000000,0.0600,0.7795,0.000500,9.5
91,0.068070,0.055273,0.210954,0.00034065,0.000000,0.0607,0.7924,0.000500,9.5
92,0.069207,0.056458,0.207867,0.00034621,0.000000,0.0613,0.8298,0.000500,9.5
93,0.070370,0.057463,0.208171,0.00035045,0.000000,0.0620,0.7708,0.000500,9.5
94,0.068123,0.055126,0.207388,0.00035576,0.000000,0.0627,0.7832,0.000500,9.5
95,0.068711,0.055810,0.203707,0.00036165,0.000000,0.0633,0.8292,0.000500,9.5
96,0.071521,0.058637,0.201313,0.00036644,0.000000,0.0640,0.7968,0.000500,9.5
97,0.066798,0.053952,0.198653,0.00037201,0.000000,0.0647,0.8160,0.000500,9.5
98,0.068154,0.055307,0.196639,0.00037730,0.000000,0.0653,0.8102,0.000500,9.5
99,0.068343,0.055622,0.192744,0.00038224,0.000000,0.0660,0.7855,0.000500,9.5
100,0.066168,0.053458,0.190645,0.00038812,0.000000,0.0667,0.8145,0.000500,9.5
101,0.069603,0.056480,0.194897,0.00039431,0.000000,0.0673,0.8621,0.000500,9.5
102,0.068641,0.055607,0.191680,0.00039871,0.000000,0.0680,0.7934,0.000500,9.5
103,0.067285,0.053978,0.193790,0.00040401,0.000000,0.0687,0.7850,0.000500,9.5
104,0.068386,0.054722,0.197070,0.00041007,0.000000,0.0693,0.8209,0.000500,9.5
105,0.065908,0.052448,0.192286,0.00041532,0.000000,0.0700,0.8188,0.000500,9.5
106,0.067526,0.054339,0.186610,0.00042054,0.000000,0.0707,0.8168,0.000500,9.5
