epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.073083,0.072214,0.868802,0.00010086,0.000000,0.0010,0.0697,0.000500,6.1
2,0.044165,0.042441,0.862061,0.00010788,0.000000,0.0020,0.0717,0.000500,5.9
3,0.039111,0.036470,0.880299,0.00011494,0.000000,0.0030,0.0618,0.000500,6.0
4,0.039841,0.036207,0.908504,0.00012325,0.000000,0.0040,0.0470,0.000500,6.0
5,0.064066,0.059432,0.926916,0.00014021,0.000000,0.0050,0.0375,0.000500,6.0
6,0.068452,0.062652,0.966583,0.00015240,0.000000,0.0060,0.0169,0.000500,6.1
7,0.043421,0.037023,0.914067,0.00014400,0.000000,0.0070,0.0440,0.000500,6.0
8,0.042257,0.034912,0.918135,0.00014096,0.000000,0.0080,0.0418,0.000500,6.0
9,0.043407,0.034994,0.934801,0.00014130,0.000000,0.0090,0.0332,0.000500,6.1
10,0.047234,0.037700,0.953413,0.00014294,0.000000,0.0100,0.0236,0.000500,6.1
11,0.050876,0.040273,0.963846,0.00014526,0.000000,0.0110,0.0183,0.000500,6.0
12,0.046184,0.034741,0.953583,0.00014190,0.000000,0.0120,0.0235,0.000500,6.0
13,0.046122,0.033723,0.953779,0.00013730,0.000000,0.0130,0.0234,0.000500,6.0
14,0.046905,0.033441,0.961658,0.00013609,0.000000,0.0140,0.0194,0.000500,6.0
15,0.047377,0.032877,0.966683,0.00013671,0.000000,0.0150,0.0168,0.000500,6.1
16,0.048376,0.032887,0.968085,0.00013691,0.000000,0.0160,0.0161,0.000500,6.2
17,0.049294,0.032811,0.969535,0.00013706,0.000000,0.0170,0.0154,0.000500,6.1
18,0.050293,0.032853,0.968867,0.00013716,0.000000,0.0180,0.0157,0.000500,6.1
19,0.051332,0.032943,0.967865,0.00013724,0.000000,0.0190,0.0162,0.000500,6.1
20,0.051905,0.032625,0.963959,0.00013723,0.000000,0.0200,0.0182,0.000500,6.1
21,0.053090,0.032982,0.957554,0.00013729,0.000000,0.0210,0.0215,0.000500,6.0
22,0.053957,0.032991,0.953021,0.00013750,0.000000,0.0220,0.0238,0.000500,6.0
23,0.055100,0.033327,0.946614,0.00013793,0.000000,0.0230,0.0271,0.000500,6.0
24,0.056047,0.033315,0.947161,0.00013854,0.000000,0.0240,0.0268,0.000500,6.0
25,0.057008,0.033387,0.944851,0.00013942,0.000000,0.0250,0.0280,0.000500,6.0
26,0.058001,0.033483,0.943012,0.00014128,0.000000,0.0260,0.0289,0.000500,6.0
27,0.059009,0.033437,0.947120,0.00014464,0.000000,0.0270,0.0268,0.000500,6.1
28,0.060882,0.034182,0.953582,0.00015219,0.000000,0.0280,0.0235,0.000500,6.1
29,0.064274,0.036264,0.965848,0.00015871,0.000000,0.0290,0.0172,0.000500,6.0
30,0.066639,0.037427,0.973738,0.00016798,0.000000,0.0300,0.0132,0.000500,6.1
31,0.066509,0.036488,0.968423,0.00017088,0.000000,0.0310,0.0159,0.000500,6.0
32,0.068476,0.037553,0.966351,0.00017461,0.000000,0.0320,0.0170,0.000500,6.0
33,0.067435,0.035052,0.981310,0.00016484,0.000000,0.0330,0.0094,0.000500,6.0
34,0.069771,0.036109,0.990051,0.00017097,0.000000,0.0340,0.0050,0.000500,6.1
35,0.067767,0.033332,0.983846,0.00017057,0.000000,0.0350,0.0081,0.000500,6.0
36,0.068703,0.033311,0.983100,0.00016795,0.000000,0.0360,0.0085,0.000500,6.0
37,0.069202,0.032800,0.983827,0.00016594,0.000000,0.0370,0.0081,0.000500,6.0
38,0.069955,0.032640,0.981982,0.00016578,0.000000,0.0380,0.0091,0.000500,6.0
39,0.070830,0.032718,0.977227,0.00016605,0.000000,0.0390,0.0115,0.000500,6.0
40,0.071573,0.032739,0.970858,0.00016609,0.000000,0.0400,0.0147,0.000500,6.0
